"year","leaid","lea_name","state_name","city_location","zip_location","latitude","longitude","county_name","agency_type","enrollment","est_population_5_17_poverty","est_population_5_17_poverty_pct","read_test_pct_prof_midpt","math_test_pct_prof_midpt","rev_total","salaries_total"
"2015","5300660","Bremerton School District","Washington","BREMERTON","98312","47.56439","-122.662211","Kitsap County","Regular local school district","5187","998","0.188089","50","40","70984000","36103000"
"2015","5300690","Brewster School District","Washington","BREWSTER","98812","48.094182","-119.787742","Okanogan County","Regular local school district","997","253","0.243738","33","28","12540000","6406000"
"2015","5300720","Bridgeport School District","Washington","BRIDGEPORT","98813","48.00748","-119.675229","Douglas County","Regular local school district","888","203","0.247259","37","28","9978000","5108000"
"2015","5300750","Brinnon School District","Washington","BRINNON","98320","47.697236","-122.903178","Jefferson County","Regular local school district","54","30","0.32967","34.5","24.5","1290000","489000"
"2015","5300780","Burlington-Edison School District","Washington","BURLINGTON","98233","48.475793","-122.322358","Skagit County","Regular local school district","3683","800","0.213276","51","39","49302000","28162000"
"2015","5300810","Camas School District","Washington","CAMAS","98607","45.5951","-122.4023","Clark County","Regular local school district","6903","399","0.059094","83","73","91595000","43520000"
"2015","5300840","Cape Flattery School District","Washington","SEKIU","98381","48.26604","-124.332761","Clallam County","Regular local school district","475","87","0.195506","52","49","9257000","4700000"
"2015","5300870","Carbonado School District","Washington","CARBONADO","98323","47.081361","-122.054337","Pierce County","Regular local school district","179","27","0.148352","67","62","2328000","1124000"
"2015","5300950","Cascade School District","Washington","LEAVENWORTH","98826","47.597033","-120.664573","Chelan County","Regular local school district","1310","263","0.175802","68","52","19342000","8874000"
"2015","5300960","CASHMERE SCHOOL DISTRICT","Washington","CASHMERE","98815","47.516964","-120.469781","Chelan County","Regular local school district","1543","283","0.204924","66","55","19181000","9559000"
"2015","5300990","Castle Rock School District","Washington","CASTLE ROCK","98611","46.271803","-122.906555","Cowlitz County","Regular local school district","1228","202","0.134667","51","35","13791000","7596000"
"2015","5301050","Centerville School District","Washington","CENTERVILLE","98613","45.751955","-120.899319","Klickitat County","Regular local school district","84","18","0.233766","64.5","44.5","1437000","630000"
"2015","5301080","Central Kitsap School District","Washington","SILVERDALE","98383","47.646463","-122.697538","Kitsap County","Regular local school district","11090","905","0.081767","70","57","170334000","76353000"
"2015","5301110","Central Valley School District","Washington","GREENACRES","99016","47.667704","-117.144179","Spokane County","Regular local school district","13333","2119","0.147183","67","56","170134000","84025000"
